Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"P05429",484340,409540,0,670100,976600,978320,568130,584650
"P09190",0,3236000,0,1997500,2068300,2299800,0,2114200
"P09191",0,0,0,0,0,0,0,0
"P09192",485650,585020,0,692170,1041200,1010000,227740,507550
"P09193",347360,226540,0,289640,383630,398520,157140,284660
"P0DJF8",0,0,0,0,0,0,0,0
"P10549",5711900,5358500,13799000,3897600,3525800,4013700,2597800,5577800
"P12975",1409700,2490400,2559600,1091700,1739200,2360700,429580,2201500
"P14835",1015100,537060,0,729430,942280,724650,572870,597510
"P15730",0,0,0,0,0,0,0,0
"P16033",267260,221100,0,144470,215120,370950,170590,177880
"P17253",296560,948150,0,444920,555550,904140,665150,816200
"P19050",1304000,1109400,0,959040,1191000,940520,364030,982920
"P19125",0,0,0,96392,139810,144800,196030,0
"P19569",8146100,11864000,1831900,7070100,5951900,7806900,3234100,8449700
"P20170",0,0,0,45066,37508,0,0,0
"P20804",903240,252040,0,325950,203690,209360,0,217250
"P21697",4307600,6143000,0,1886100,2449700,2862800,473060,3179700
"P22034",6404700,6894000,1524400,6514000,4315900,4264100,4831300,5571400
"P22040",0,0,0,0,0,0,0,0
"P22358",7808500,9252000,6807800,9039400,6077500,5953600,5922500,7035100
"P23349",10467000,10446000,21197000,9241800,10012000,9788000,6725500,6599700
"P23350",1192700,1580200,0,1187800,893270,1080900,1055400,1214900
"P23353",482150,451590,0,510150,460790,368140,384470,469150
"P24602",1666800,2022600,0,2003200,1887700,1664600,1779600,1905500
"P26287",2042600,1954800,0,2464400,2526600,2157700,649870,2607300
"P26290",3378500,3812700,0,3121600,3519600,3454700,6113200,3895000
"P26523",0,0,0,0,0,0,0,0
"P26525",945650,1054000,0,1430500,1113500,1232200,2762500,969630
"P26527",5568400,7565000,713480,5344700,5296400,6331100,2914700,7001300
"P26533",4809200,6679200,0,5052000,5318500,4627200,1599300,5327700
"P27179",8035700,7207500,326870,6009100,6796500,6619000,5655500,6459500
"P27180",908270,1085600,0,1070500,945530,1087200,1695700,852800
"P27181",3032000,2936700,351050,2925200,3475900,2088300,6594100,4435500
"P27183",3891700,4219700,0,2714600,2269100,2980300,5059300,3321500
"P27319",0,0,0,0,0,0,0,0
"P27320",0,0,0,0,406050,639240,0,691870
"P27589",1472400,1456200,0,1075100,953740,887300,1340600,2076500
"P27724",103030,0,0,85714,135740,94473,162360,82639
"P28371",2464400,1638900,165290,2278800,2596500,2870000,1328100,1847300
"P28373",0,0,0,0,0,0,0,0
"P28463",74106,0,0,63955,105550,61937,123060,58761
"P29107",3224200,3144100,0,2869200,2930300,2807400,4568800,3290500
"P29254",3639400,3484400,0,3076400,2993700,3266200,2206200,3999400
"P29255",1939900,1650200,0,1718800,2055900,1706600,2162600,2885600
"P29256",6414200,6663800,0,6065700,6908900,4956300,4991500,6480300
"P29273",149340,150970,0,145720,154060,143540,0,148940
"P32422",6948500,8538700,3608000,6011900,5478800,7929900,1911600,8922400
"P33779",191840,183660,0,226480,213850,214830,179490,214370
"P36236",4298300,4980200,1015000,4140300,3911400,4621300,3265000,4803300
"P36237",1924700,1025000,0,2482600,1886300,2505000,1268500,1907800
"P36239",424190,470060,0,552170,583250,496580,628730,479930
"P36265",1026000,1122100,0,1147300,1035900,870760,1328000,1187400
"P37101",3334900,2928500,0,3294100,4611100,4637000,4030200,3272300
"P37277",2388400,2362300,0,1813500,2104500,2111900,2147000,2157000
"P37294",0,0,0,0,0,0,0,0
"P37367",0,0,0,0,0,0,0,0
"P38382",1503600,1276600,0,1911300,0,1416600,1353300,1489800
"P42349",102990,0,0,111400,125300,107020,304820,127560
"P42350",185050,81429,0,152870,172520,0,0,0
"P42352",2144800,3408300,0,2018700,2057800,2333200,934390,2828500
"P45450",0,0,0,0,0,0,0,0
"P46445",2179400,1813800,0,2156500,2379100,1987500,872040,2221500
"P48576",716070,790860,0,782720,1033000,900840,388810,853970
"P48939",4637900,2521100,0,3059700,3977500,3194900,5751400,2576700
"P48944",3287900,4863800,0,2791700,1881300,2287100,5088800,3491700
"P48946",5804400,4738500,667920,4479800,3683200,4068300,3556700,3886400
"P48949",8636000,11209000,0,8941500,8018800,7731100,4255200,7178400
"P48957",238350,48310,0,705490,297020,271660,127980,130210
"P48958",6423900,6459400,0,4913000,7701000,3608500,2219500,6893700
"P48959",6441700,4961100,0,5572700,3679400,4090300,5234100,7076200
"P49057",190540,151850,0,184790,239290,224380,251790,173370
"P49433",163360,98561,0,140320,198010,173700,189260,138760
"P49995",0,0,0,0,0,0,0,0
"P50027",0,0,0,0,0,0,0,0
"P51634",824090,1201000,0,1166200,1069100,1026000,1002500,1368100
"P52208",695490,759980,0,783130,958260,1101400,1530700,752640
"P52231",3552600,5602300,0,3575800,3287100,4315500,387000,3774900
"P52276",65020,0,0,76454,80492,66661,163110,68553
"P52415",498960,529050,0,576360,709740,559620,616440,619520
"P52601",0,0,0,0,0,0,0,0
"P52640",0,0,0,0,0,0,0,0
"P52761",0,0,0,0,0,0,0,0
"P52981",273480,217550,0,240910,315610,367570,447140,232930
"P52983",678930,609370,0,750960,905190,828960,1074400,799080
"P52986",0,0,0,0,0,0,0,0
"P52997",0,0,0,0,0,0,0,0
"P53383",0,0,0,228430,266870,219630,0,0
"P53579",130750,167450,0,120270,147900,142960,246410,148970
"P53581",69356,0,0,0,0,46190,0,0
"P54123",2340600,2003700,1633900,2258900,2751000,2221900,1060000,1974700
"P54147",0,0,0,0,0,0,0,0
"P54205",4945100,3634200,344860,5205600,7274900,8416100,6168200,5627900
"P54206",4666900,8980300,481420,7399600,7902400,10327000,4819000,9222900
"P54224",647850,612870,0,517940,648230,621740,549720,551300
"P54225",0,0,0,118260,195920,176510,215280,143730
"P54384",68333,94548,0,100340,126130,151610,130960,112540
"P54386",104000,103200,0,100030,65059,129320,0,105210
"P54416",437040,697620,0,534950,432300,528690,941550,599190
"P54691",930720,806250,0,1101300,1096100,989230,1763000,896730
"P54735",0,0,0,0,0,0,0,0
"P54899",138210,77389,0,94350,116390,127690,86690,114080
"P54902",509280,0,0,375190,403000,0,412110,353140
"P54984",0,0,0,0,0,0,0,0
"P55037",146310,107410,0,140290,193110,194450,95764,141650
"P55038",173630,116850,0,149300,203430,206170,209200,161310
"P55175",0,0,0,76287,0,107210,0,110540
"P58235",0,0,0,0,0,0,0,0
"P72570",0,85536,0,83404,110800,79587,0,96171
"P72571",0,60259,0,0,0,49992,0,0
"P72573",0,57114,0,58145,63751,0,0,0
"P72574",0,0,0,0,0,0,0,0
"P72576",148230,168740,0,143810,103560,105240,0,117580
"P72580",72256,70894,0,43697,87564,59793,0,52297
"P72581",0,0,0,0,0,0,0,0
"P72582",0,0,0,0,0,0,0,0
"P72583",169350,210840,0,173850,207450,93942,284800,206740
"P72584",2080200,1892300,0,2087700,2466800,1965300,2329400,2147600
"P72585",159430,147750,0,128810,146250,152180,203860,105440
"P72586",203810,85155,0,155570,198190,172770,407570,150820
"P72587",0,0,0,0,0,0,0,0
"P72588",84709,75631,0,80377,91712,77831,0,61925
"P72589",0,0,0,0,0,0,0,0
"P72606",0,0,0,54634,0,44956,0,49106
"P72611",0,0,0,0,0,0,0,0
"P72612",0,0,0,0,0,0,0,0
"P72615",0,0,0,0,0,0,0,0
"P72616",0,0,0,0,0,0,0,0
"P72618",0,0,0,0,0,0,0,0
"P72621",0,0,0,0,0,0,0,0
"P72622",650770,624360,0,517090,532450,559380,440190,675990
"P72623",0,0,0,0,240860,203790,0,0
"P72625",0,0,0,0,0,0,0,0
"P72635",0,150770,0,207130,0,158620,0,122870
"P72639",270430,374550,0,349540,331580,290380,124390,328790
"P72641",205690,272990,0,252670,255080,267040,325120,248980
"P72642",139440,170500,0,148560,204840,139950,134000,159610
"P72644",488430,418880,0,343560,473260,466790,0,372940
"P72645",0,0,0,0,0,0,0,0
"P72646",0,0,0,0,0,0,0,0
"P72647",409600,617180,0,563350,517850,458760,453290,519450
"P72648",87500,95288,0,77839,90512,118450,0,97876
"P72649",117550,102610,0,142360,230220,158600,142440,146650
"P72652",123400,147110,0,103510,107760,111030,0,98899
"P72653",0,0,0,0,0,0,0,0
"P72655",121170,193430,0,217930,286560,284790,358330,237230
"P72656",559580,549240,451450,615760,549390,547860,847120,574110
"P72659",1365600,1261200,0,1495000,1689000,1435600,1393800,1401200
"P72661",0,0,0,68431,0,76864,0,48007
"P72662",366320,403040,0,386430,359940,357830,321580,357240
"P72663",124310,98356,0,132750,128210,113780,203980,146500
"P72665",0,0,0,0,23305,31013,0,0
"P72666",0,0,0,0,0,0,0,0
"P72668",0,0,0,0,0,0,0,0
"P72669",0,66992,0,72342,59033,0,0,69358
"P72671",60276,56388,0,66426,71665,56966,0,49227
"P72673",490610,423980,0,550700,426030,444900,728280,488950
"P72675",404910,371910,0,379790,439910,365640,0,432830
"P72679",0,0,0,0,0,0,0,0
"P72683",148380,150180,0,145880,161480,159650,265800,128460
"P72686",0,0,0,0,0,0,0,0
"P72687",0,0,0,0,0,0,0,0
"P72688",887370,1013800,0,816490,874040,850380,923190,816590
"P72689",2252800,1941700,995920,2337000,2098700,1968300,2183100,2310500
"P72691",0,0,0,69789,91888,0,0,67384
"P72697",679830,1050800,0,910300,878800,864590,266960,840070
"P72698",0,0,0,0,0,0,0,0
"P72699",106550,0,0,0,0,165680,0,122620
"P72700",1124000,860440,0,923730,1097500,877590,536360,1048900
"P72703",237480,191610,0,412150,494590,383050,551870,270740
"P72704",1584400,1701400,0,1621000,1668800,1383500,1072700,1673800
"P72705",559860,432000,0,399100,381250,391940,114420,516680
"P72707",510930,690500,0,472420,625680,747860,1501700,615920
"P72709",1006100,1205900,0,1081400,878230,792500,0,1074400
"P72710",0,0,0,0,0,0,0,0
"P72713",0,0,0,0,0,0,0,0
"P72715",52160,37306,0,48370,50326,32289,0,76984
"P72719",0,0,0,0,0,0,0,0
"P72720",199220,204390,0,227490,250860,174860,0,210890
"P72724",0,0,0,0,130270,0,134120,113110
"P72727",0,0,0,0,0,0,0,0
"P72729",0,0,0,0,0,0,0,0
"P72730",0,0,0,0,0,0,0,0
"P72731",0,0,0,0,0,0,0,0
"P72733",0,0,0,0,0,0,0,0
"P72740",458700,456710,0,493590,606660,573280,553940,460070
"P72741",0,0,0,0,0,0,0,0
"P72742",63461,32137,0,100810,83289,72612,0,76212
"P72744",33987,42550,0,43408,36904,31556,0,40588
"P72746",0,0,0,0,0,0,0,0
"P72747",0,124070,0,0,0,150090,0,0
"P72748",0,0,0,0,0,0,0,0
"P72749",815610,550110,0,542450,628500,818730,405470,622530
"P72752",57971,178000,637480,0,223540,152490,69626,0
"P72753",68464,54235,0,67396,65066,85421,0,55108
"P72754",0,355480,0,242520,271200,245570,0,304070
"P72756",205150,198730,0,0,215790,274710,0,176340
"P72757",148600,182410,0,161810,132760,117070,153730,172130
"P72758",4219900,4314800,405400,3496300,3557300,3470100,5225700,3507000
"P72759",301290,449200,0,473590,460710,416270,145350,367930
"P72760",3212600,3585500,0,4562100,4228200,4619500,5020200,3502200
"P72761",3558100,4833800,9818300,4185300,3992800,4390200,2351700,3841500
"P72762",325970,314730,0,336110,409550,409960,939600,440810
"P72764",0,0,0,0,0,0,0,0
"P72765",0,32750,0,33581,42103,37020,0,45897
"P72768",0,0,0,0,0,0,0,0
"P72772",96253,119870,0,52609,77972,77996,81844,67436
"P72775",0,0,0,0,0,0,0,0
"P72776",0,0,0,0,0,0,0,0
"P72777",119250,91279,0,383600,272760,282490,327630,264370
"P72779",1074500,1489600,0,1357200,1204300,1230700,1440100,1223300
"P72780",157280,159260,0,200250,180440,162070,150320,197090
"P72781",225650,275340,0,393720,336530,318680,128100,281960
"P72786",0,0,0,0,0,0,0,0
"P72789",0,0,0,19119000,0,0,19106000,0
"P72794",0,0,0,0,0,0,0,0
"P72796",0,0,0,0,0,0,0,0
"P72797",646940,795680,0,986830,1056400,836510,1015600,907170
"P72798",1525400,2134100,2335500,1854200,1531100,1900900,651320,1741700
"P72799",318260,223390,0,290390,308520,287520,452100,301840
"P72800",153960,302150,0,217940,191940,172360,0,219040
"P72802",279370,358120,0,347300,247780,271630,327080,263600
"P72804",1832500,2214800,0,1797600,2029000,1952900,549270,2148700
"P72805",821460,1005000,0,1565200,1531300,1425000,287350,952390
"P72806",0,0,0,0,0,0,0,0
"P72807",1141100,1356200,0,1643800,1423600,1157700,939100,1318300
"P72808",0,0,0,0,0,0,0,0
"P72813",0,0,0,0,0,0,0,0
"P72814",474340,527950,0,530510,467300,473420,299310,698160
"P72815",0,0,0,0,0,0,0,0
"P72817",428180,591830,0,498060,399870,484400,178800,538080
"P72818",0,0,0,0,0,0,0,0
"P72819",0,100620,0,0,0,0,0,57945
"P72822",0,0,0,0,0,0,0,0
"P72827",396910,450250,0,418520,468170,460930,736290,503090
"P72828",0,0,0,0,0,0,0,0
"P72834",167230,172640,0,199210,284450,260930,175840,174360
"P72839",341890,402790,0,426000,359290,291940,492210,423190
"P72840",0,0,0,0,0,0,0,0
"P72842",0,0,0,0,0,0,0,0
"P72845",259580,248250,0,285430,376540,357360,0,295210
"P72848",679680,399860,0,555030,648830,641500,1086400,562150
"P72849",454550,415370,0,394420,407960,411450,261660,333610
"P72850",0,0,0,0,418160,0,0,348590
"P72851",509390,362250,0,359640,325150,320840,277600,340820
"P72852",157930,217770,0,165130,125230,157130,250530,178630
"P72854",534280,526590,0,473210,570400,518140,396180,494220
"P72856",599710,555250,0,691790,710340,707910,1036600,649790
"P72861",0,0,0,0,0,0,0,0
"P72863",110970,104320,0,0,0,105290,0,94261
"P72864",470260,359090,0,442500,560420,432050,680510,437020
"P72865",315360,0,0,297070,333130,242080,413110,253600
"P72866",1607800,1340900,0,1462900,717470,2214700,1418300,1304600
"P72868",171560,148600,0,0,113470,160560,0,0
"P72870",2606900,2380500,1643400,2347100,2345000,3007500,640340,2654800
"P72871",1650600,1764800,0,1786900,2024400,2076100,2560700,2157700
"P72874",2554300,1669900,0,2345900,1576100,1858300,2701100,2110400
"P72877",0,0,0,0,0,0,0,0
"P72883",0,0,0,0,0,0,0,0
"P72887",0,0,0,0,0,0,0,0
"P72888",0,0,0,0,0,0,0,0
"P72890",62304,29558,0,62749,28509,31087,137900,83783
"P72893",84530,0,0,84682,0,59303,0,0
"P72896",0,0,0,0,144460,100820,0,0
"P72897",632550,790580,0,749720,644850,724330,598640,863350
"P72899",0,0,0,0,0,0,0,0
"P72900",0,0,0,0,0,0,0,0
"P72901",0,0,0,0,0,0,0,0
"P72902",0,0,0,0,0,0,0,0
"P72903",0,0,0,0,0,0,0,0
"P72907",0,0,0,0,0,0,0,0
"P72908",0,0,0,0,0,0,0,0
"P72911",0,0,0,0,0,0,0,0
"P72913",46108,49181,0,120270,158660,150250,46507,0
"P72920",0,0,0,0,0,0,0,0
"P72925",589730,701570,0,442030,370830,437390,0,496340
"P72927",0,41457,0,57295,47169,48997,0,42437
"P72929",237700,243790,0,235990,280110,208000,185420,228680
"P72931",87890,74216,0,70571,86521,84361,161870,72816
"P72932",704920,761800,0,854760,863900,718570,0,662410
"P72933",103550,110410,0,78480,108760,92733,131560,88333
"P72934",0,0,0,0,0,0,0,0
"P72937",0,0,0,0,76334,47557,0,36949
"P72940",2295000,2560400,0,2104800,1700900,1969100,2716400,2356800
"P72942",0,0,0,0,0,0,0,0
"P72944",0,0,0,0,0,0,141360,66677
"P72948",82621,91283,0,77250,85977,80219,113530,95479
"P72952",143230,165300,0,151800,114930,174490,0,167380
"P72955",321500,453990,0,286900,299510,376100,297420,296830
"P72960",0,0,0,0,0,0,0,0
"P72961",0,0,0,0,0,0,0,0
"P72963",0,0,0,0,0,0,0,0
"P72964",205200,233020,0,227110,230620,189800,192210,259930
"P72965",62324,84223,0,69054,86004,52000,0,74754
"P72966",0,0,0,0,0,0,0,0
"P72967",168990,209760,0,273660,258870,245490,255700,327870
"P72968",88867,0,0,78007,83416,92061,118300,110640
"P72976",0,0,0,39654,42592,0,0,0
"P72977",104440,119800,0,174380,79953,82395,0,80605
"P72979",0,0,0,0,0,0,0,0
"P72980",73094,72133,0,44881,57462,82226,0,73678
"P72985",1217000,1704400,0,1874700,1334100,1199300,428530,1358100
"P72987",0,0,0,77973,56482,0,0,61237
"P72988",0,0,0,57575,88344,76492,0,81820
"P72989",0,89237,0,82082,58797,64178,82377,59975
"P72991",561800,535810,0,629750,573110,607100,974730,698460
"P73001",0,0,0,0,0,0,0,0
"P73004",269390,295060,0,323600,280010,275200,359100,323590
"P73006",66925,91625,0,123240,89431,70269,0,86838
"P73007",115590,0,0,140160,109370,138450,54589,113280
"P73008",186250,178030,0,219600,218660,201860,332490,224160
"P73010",393520,0,0,321380,217270,0,486680,0
"P73012",0,0,0,0,0,0,0,0
"P73014",0,0,0,0,0,0,0,0
"P73016",0,0,0,0,136350,143170,0,0
"P73017",0,0,0,0,0,0,0,0
"P73018",49207,0,0,0,58526,48133,0,0
"P73019",0,0,0,0,0,0,0,0
"P73020",230560,182610,0,189320,239980,212060,236390,187260
"P73023",0,0,0,0,0,0,0,0
"P73024",0,0,0,0,0,0,0,0
"P73029",0,0,0,0,0,0,0,0
"P73031",0,0,0,0,0,0,0,0
"P73032",0,0,0,0,0,0,0,0
"P73033",0,0,0,0,0,0,0,0
"P73037",1092600,1166900,0,893820,801260,785060,969880,900920
"P73039",0,0,0,0,0,0,0,0
"P73040",102670,155800,0,115560,169780,167290,108230,129910
"P73042",0,0,0,0,0,0,0,0
"P73043",162880,0,0,229310,321750,239630,115270,278080
"P73048",1688500,1864200,0,1661000,2264000,1996000,1922100,1687200
"P73049",84191,61026,0,0,77294,64269,0,0
"P73055",0,357050,0,289780,240500,275450,0,150270
"P73056",739900,704790,0,767850,905520,535460,0,917500
"P73057",3584400,4150700,0,3411700,2412600,3025300,552870,3338500
"P73058",198890,202310,0,216660,220590,226220,122710,187990
"P73061",94500,100040,0,102460,155200,112990,0,114610
"P73065",0,0,0,0,0,0,0,0
"P73066",229980,329710,0,205980,199720,193640,756750,236330
"P73067",138470,91989,0,136610,202980,150870,210620,122570
"P73068",450060,606870,0,461450,649080,494820,0,541840
"P73069",507850,387090,0,505070,435650,563240,328290,492450
"P73071",0,0,0,0,0,0,0,0
"P73077",60447,50805,0,72118,79946,65516,82401,57738
"P73078",0,0,0,0,0,0,0,0
"P73080",161380,216350,0,143190,129710,139370,0,157320
"P73081",0,102860,0,101600,97836,67253,0,95737
"P73083",0,0,0,56117,40446,0,0,51221
"P73085",0,0,0,57157,63873,0,0,0
"P73089",0,0,0,0,150290,125940,0,118760
"P73091",0,0,0,0,0,0,0,0
"P73092",103140,120670,0,105500,140030,134520,75567,102400
"P73093",9953900,12500000,273210,9330200,7642100,8839200,7498100,10152000
"P73094",0,0,0,0,0,0,0,0
"P73095",0,0,0,0,0,0,0,0
"P73097",118940,94647,0,92121,74391,97599,0,89044
"P73098",816850,1064600,0,807090,772220,770870,1018800,668680
"P73103",6946900,6735600,164070,6611100,6867400,7500100,5004000,7448900
"P73104",223970,181850,0,173740,161240,138390,0,107820
"P73107",742200,1071800,0,1076700,1072200,1222700,606710,1198000
"P73111",1210000,1406500,0,848690,895680,934180,74327,1121000
"P73113",286460,304490,0,283250,203330,181430,262060,263420
"P73114",0,0,0,0,0,0,0,0
"P73117",0,53042,0,68031,73731,54394,0,0
"P73118",0,0,0,0,0,0,0,0
"P73120",247200,231390,0,323600,430250,327720,705280,303960
"P73122",0,0,0,0,0,0,0,0
"P73123",202000,133880,0,69546,66602,71808,0,0
"P73126",0,0,0,0,60081,0,0,63082
"P73127",0,230580,0,0,0,203400,0,0
"P73128",161130,122170,0,208200,251660,231000,288940,138730
"P73129",0,0,0,0,151740,135280,0,0
"P73130",70519,72669,0,68240,67583,53037,114710,66027
"P73133",72518,66849,0,86463,122390,109960,0,76583
"P73135",0,0,0,119370,123140,0,0,0
"P73138",0,0,0,0,0,0,0,0
"P73139",0,0,0,0,0,0,0,0
"P73141",150880,232020,0,177310,191960,139490,332400,190160
"P73142",77228,0,0,76680,70121,0,0,91150
"P73145",120990,124360,0,173890,151930,141810,0,143740
"P73146",0,0,0,109820,107160,0,0,82898
"P73150",0,94928,0,0,63459,67990,0,72583
"P73152",833400,970950,0,733960,569720,644020,719240,688080
"P73153",0,0,0,0,0,0,0,0
"P73154",0,0,0,0,0,0,0,0
"P73155",0,0,0,0,0,0,0,0
"P73156",0,101520,0,139980,108720,126800,50526,122230
"P73157",0,238790,0,135670,94582,164030,0,100880
"P73159",0,0,0,0,0,0,0,0
"P73161",0,0,0,266820,230660,229880,230060,204840
"P73163",288400,336870,0,340110,320140,340510,470390,332460
"P73166",0,0,0,0,0,0,0,0
"P73168",0,0,0,0,0,0,0,0
"P73172",0,0,0,186320,171730,146670,0,0
"P73173",378170,439220,0,462230,523810,389020,702640,487240
"P73175",361860,542280,0,554540,424930,319170,486610,420690
"P73177",0,0,0,0,143770,151860,0,0
"P73178",529560,556810,0,524940,488110,451380,248640,543250
"P73179",50557,57927,0,75380,83042,80282,136320,92677
"P73180",0,0,0,0,0,0,0,0
"P73186",0,0,0,0,0,0,0,0
"P73188",0,0,0,0,0,0,0,0
"P73189",0,0,0,0,0,0,0,0
"P73192",0,0,0,238800,0,0,0,241600
"P73193",103400,143240,0,0,107790,179510,0,83890
"P73195",0,0,0,98283,0,0,289350,0
"P73196",1255400,1278100,0,1124800,931270,1012200,860370,1124700
"P73198",380890,462540,365250,374330,401010,381060,283700,469830
"P73200",1198300,1169100,0,978540,1156600,1026800,738250,1140300
